pb1_long,pb1_short,pb2_long,pb2_short,croissants_long,croissants_short,jams_long,jams_short,djembes_long,djembes_short,pnl
30,90,50,100,230,355,195,485,325,370,0
30,100,50,100,230,355,195,485,325,370,0
30,110,50,100,230,355,195,485,325,370,0
30,120,50,100,230,355,195,485,325,370,0
30,130,50,100,230,355,195,485,325,370,0
40,90,50,100,230,355,195,485,325,370,0
40,100,50,100,230,355,195,485,325,370,0
40,110,50,100,230,355,195,485,325,370,0
40,120,50,100,230,355,195,485,325,370,0
40,130,50,100,230,355,195,485,325,370,0
50,90,50,100,230,355,195,485,325,370,0
50,100,50,100,230,355,195,485,325,370,0
50,110,50,100,230,355,195,485,325,370,0
50,120,50,100,230,355,195,485,325,370,0
50,130,50,100,230,355,195,485,325,370,0
60,90,50,100,230,355,195,485,325,370,0
60,100,50,100,230,355,195,485,325,370,0
60,110,50,100,230,355,195,485,325,370,0
60,120,50,100,230,355,195,485,325,370,0
60,130,50,100,230,355,195,485,325,370,0
70,90,50,100,230,355,195,485,325,370,0
70,100,50,100,230,355,195,485,325,370,0
70,110,50,100,230,355,195,485,325,370,0
70,120,50,100,230,355,195,485,325,370,0
70,130,50,100,230,355,195,485,325,370,0
50,100,30,90,230,355,195,485,325,370,0
50,100,30,100,230,355,195,485,325,370,0
50,100,30,110,230,355,195,485,325,370,0
50,100,30,120,230,355,195,485,325,370,0
50,100,30,130,230,355,195,485,325,370,0
50,100,40,90,230,355,195,485,325,370,0
